prior_claim_id,source_paper,prior_direction,prior_value,observed_direction,observed_value,status,evidence_note
CS82_partition_signaling,"Crawford & Sobel (1982)",positive,"cheap talk transmits partial information via partition equilibria",null,"0.0pp effect of cheap talk on deal rate; agents produce rapport not value signals",CONTRADICTED,"LLM agents do not partition-signal; free-form talk is generic rapport (evidence_trace row 1)"
CS82_bias_parameter,"Crawford & Sobel (1982)",positive,"smaller b (narrow gap) → finer partitions → more informative talk",negative,"-10.6pp narrow effect vs -5.0pp wide effect; interaction n.s. (Wald p=0.480)",CONTRADICTED,"Communication does not differentially help narrow-gap conditions (evidence_trace row 2)"
CS82_info_similarity,"Crawford & Sobel (1982)",positive,"more similar preferences → more informative signaling → higher deal rate",positive,"+31.1pp for narrow vs wide gap (p<0.0001)",PARTIAL,"Value gap has massive effect on deals but the channel is feasibility not communication informativeness (evidence_trace row 3)"
CS82_uninformative_limit,"Crawford & Sobel (1982)",positive,"as b→∞ only uninformative equilibrium remains",positive,"wide gap: 45.6% deal rate vs narrow 76.7%; wide-gap infeasibility rate ~50%",ALIGNED,"Wide gap produces ~50% infeasible trades as predicted; only uninformative equilibrium observed (evidence_trace row 4)"
CS82_sender_receiver,"Crawford & Sobel (1982)",positive,"one-sided info maps to pure sender-receiver game; talk should help more",negative,"-8.3pp interaction (one-sided talk effect worse than two-sided); n.s.",CONTRADICTED,"One-sided info does not amplify talk benefit because there is no talk benefit (evidence_trace row 5)"
FG89_cheap_talk_costless,"Farrell & Gibbons (1989)",positive,"costless non-binding communication should weakly improve outcomes",null,"0.0pp for 1-round cheap talk; -23.3pp for extended talk (p=0.004)",CONTRADICTED,"Cheap talk is exactly null; extended talk is significantly harmful (evidence_trace row 6)"
CS82_aligned_interests,"Crawford & Sobel (1982)",positive,"talk more effective when interests more aligned",negative,"narrow (more aligned): -10.6pp effect; wide (less aligned): -5.0pp effect",CONTRADICTED,"Talk effect is slightly more negative when interests are more aligned (evidence_trace row 7)"
CS82_extended_partitioning,"Crawford & Sobel (1982)",positive,"more communication rounds allow finer partitioning",negative,"extended talk 40.0% vs none 63.3% (p=0.004); actively harmful",CONTRADICTED,"More rounds produce more messages but worse outcomes; anchoring dominates partitioning (evidence_trace row 8)"
FG89_separating_eq,"Farrell & Gibbons (1989)",positive,"separating equilibrium: receiver learns sender type",null,"no evidence of value signal transmission in communication messages",CONTRADICTED,"Agents do not separate; all communication is pooling/generic rapport (evidence_trace row 9)"
FG89_mutual_discipline,"Farrell & Gibbons (1989)",positive,"mutual discipline from multiple audiences improves truthfulness",null,"not directly testable in bilateral setting; no truth-telling observed",UNCLEAR,"Bilateral design has single audience; mutual discipline mechanism not applicable (evidence_trace row 10)"
FG89_pooling_always_exists,"Farrell & Gibbons (1989)",positive,"pooling equilibrium always exists; talk may be uninformative",positive,"all communication is generic rapport-building; no value signals extracted",ALIGNED,"LLM agents play the pooling equilibrium universally as predicted (evidence_trace row 11)"
FG89_neologism_proof,"Farrell & Gibbons (1989)",positive,"neologism-proofness favors separating when it exists",negative,"no separating behavior observed despite favorable conditions (narrow gap + one-sided info)",CONTRADICTED,"LLM agents do not respond to neologism-proofness incentives (evidence_trace row 12)"
INFO_main_effect,This experiment,positive,"one-sided info increases deal rate",positive,"+25.8pp (p<0.0001); second largest effect after value gap",NEW_FINDING,"Information structure is the dominant treatment effect; not a prior-paper prediction but a key empirical finding"
EXTENDED_backfire,This experiment,null,"no prior prediction for extended talk harm",negative,"-23.3pp (p=0.004); third-largest effect; likely anchoring mechanism",NEW_FINDING,"Extended communication actively hinders bargaining; novel finding not predicted by any theory"
