hypothesis,test,estimand,effect_size,ci_lower,ci_upper,p_value,p_value_wald,odds_ratio,or_ci,direction,confidence,note
H1,Cheap talk increases deal rate,P(deal|talk) - P(deal|none),-0.078,-0.190,0.035,0.1901,0.5115,0.84,"[0.50, 1.41]",REFUTED,LOW,"none=0.633 (n=120), talk=0.556 (n=180), Fisher p=0.1901, Wald p=0.5115"
H1a,Cheap talk (1-round) vs none,P(deal|cheap_talk) - P(deal|none),+0.000,,,1.0000,,,,UNCLEAR,LOW,"cheap_talk=0.633 (n=120), none=0.633"
H1b,Extended talk vs none,P(deal|extended_talk) - P(deal|none),-0.233,,,0.0041,,,,REFUTED,MODERATE,"extended_talk=0.400 (n=60), none=0.633"
H2,Communication × value_gap interaction on deal rate,(talk_narrow - none_narrow) - (talk_wide - none_wide),-0.056,,,0.4796,0.4796,1.45,,REFUTED,LOW,"narrow_effect=-0.106, wide_effect=-0.050, interaction_coef=+0.374"
H3,Cheap talk improves surplus capture (feasible trades),"P(deal|talk,feasible) - P(deal|none,feasible)",-0.104,-0.205,-0.002,0.0738,,,,UNCLEAR,LOW,"none_feasible=0.874 (n=87), talk_feasible=0.770 (n=126)"
Holm-Bonferroni,"Family-wise correction for H1, H2, H3",Adjusted p-values,,,,"H1=0.3801, H2=0.4796, H3=0.2215",,,,,,"Raw: H1=0.1901, H2=0.4796, H3=0.0738"
H4,One-sided info amplifies cheap talk (exploratory),(talk_onesided - none_onesided) - (talk_twosided - none_twosided),-0.083,,,0.3925,0.3925,0.63,,REFUTED,Exploratory,"onesided_effect=-0.083, twosided_effect=+0.000"
H5,Extended talk more informative than single-round,Communication volume + deal rate comparison,"cheap_talk_msgs=2.0, extended_msgs=6.0",,,0.0000,,,,CONFIRMED,Exploratory (proxy),Volume: confirmed. Deal rate: extended=0.400 vs cheap_talk=0.633 (diff=-0.233)
H6,Price split closer to 50-50 with cheap talk (exploratory),Mean |split - 0.5| comparison + Levene test,"none_dist=0.207, talk_dist=0.324",,,0.3986,,,,UNCLEAR,Exploratory,"none: mean=0.585, var=0.065, n=76; talk: mean=0.347, var=2.022, n=97"
Info Main Effect,One-sided info increases deal rate,P(deal|onesided) - P(deal|twosided),+0.258,,,0.0000,,,,CONFIRMED,HIGH,"twosided=0.483, onesided=0.742"
Holdout C10,Out-of-sample prediction for C10,Predicted vs observed deal rate,"predicted=0.842, observed=1.000",,,,,,,MISCALIBRATED,,"Residual=+0.158, n=30"
Holdout C12,Out-of-sample prediction for C12,Predicted vs observed deal rate,"predicted=0.610, observed=0.467",,,,,,,CALIBRATED,,"Residual=-0.144, n=30"
Descriptive: Communication,Deal rate for Communication=cheap_talk,P(deal|communication=cheap_talk),0.633,0.544,0.714,,,,,,Descriptive,"n=120, deals=76, 95% Wilson CI"
Descriptive: Communication,Deal rate for Communication=extended_talk,P(deal|communication=extended_talk),0.567,0.477,0.652,,,,,,Descriptive,"n=120, deals=68, 95% Wilson CI"
Descriptive: Communication,Deal rate for Communication=none,P(deal|communication=none),0.633,0.544,0.714,,,,,,Descriptive,"n=120, deals=76, 95% Wilson CI"
Descriptive: Value Gap,Deal rate for Value Gap=narrow,P(deal|value_gap=narrow),0.767,0.700,0.822,,,,,,Descriptive,"n=180, deals=138, 95% Wilson CI"
Descriptive: Value Gap,Deal rate for Value Gap=wide,P(deal|value_gap=wide),0.456,0.384,0.528,,,,,,Descriptive,"n=180, deals=82, 95% Wilson CI"
Descriptive: Info,Deal rate for Info=one_sided_buyer_known,P(deal|info_asymmetry=one_sided_buyer_known),0.739,0.670,0.798,,,,,,Descriptive,"n=180, deals=133, 95% Wilson CI"
Descriptive: Info,Deal rate for Info=two_sided_private,P(deal|info_asymmetry=two_sided_private),0.483,0.411,0.556,,,,,,Descriptive,"n=180, deals=87, 95% Wilson CI"
