design_choice,source_paper,page,snippet,confidence
"communication dimension: none vs cheap_talk vs extended_talk","Crawford & Sobel (1982)",2,"equilibrium signaling always takes a strikingly simple form, in which S partitions the support of the (scalar) variable that represents his private information and introduces noise into his signal by reporting, in effect, only which element of the partition his observation actually lies in",high
"value_gap dimension maps to bias parameter b","Crawford & Sobel (1982)",12,"the closer b approaches zero—the more nearly agents' interests coincide—the finer partition equilibria there can be. As b → ∞ N(b) eventually falls to unity and only the completely uninformative equilibrium remains",high
"narrow value_gap operationalized as overlapping distributions","Crawford & Sobel (1982)",4,"b is a scalar parameter we shall later use to measure how nearly agents' interests coincide",medium
"wide value_gap: trade infeasible ~50% of time","Crawford & Sobel (1982)",11,"if yS(0 b) ≥ yR(1) then N(b) = 1. Under the monotonicity condition the condition of the Corollary is equivalent to: an S of type m=0 would rather be completely disguised than perfectly revealed",high
"info_asymmetry: one-sided maps to pure Crawford-Sobel sender-receiver","Crawford & Sobel (1982)",2,"There are two agents one of whom has private information relevant to both. The better-informed agent henceforth called the Sender (S) sends a possibly noisy signal",high
"cheap talk is costless non-binding pre-play communication","Farrell & Gibbons (1989)",2,"In this paper we study how costless nonverifiable claims (cheap talk) can affect these beliefs (and hence the actions) and how the incentives for truthful revelation to one receiver are affected by the presence of the other",high
"interaction prediction: cheap talk more effective when interests aligned","Crawford & Sobel (1982)",2,"R's equilibrium expected utility rises when agents' preferences become more similar. Since R bases his choice of action on rational expectations this establishes a sense in which equilibrium signaling is more informative when agents' preferences are more similar",high
"extended talk allows finer partitioning","Crawford & Sobel (1982)",6,"all equilibria are partition equilibria in which in effect S introduces noise into his signal only by not discriminating as finely as possible among the information states he can distinguish",medium
"separation vs pooling in cheap talk","Farrell & Gibbons (1989)",4,"In a separating equilibrium the receiver's rational posterior belief is either that s=s1 for sure or that s=s2 for sure. The equilibrium condition is that he has no incentive to lie",high
"mutual discipline from multiple audiences","Farrell & Gibbons (1989)",5,"A separating equilibrium may exist in public because of mutual discipline. When v1 and w2 are large and positive while v2 and w1 are small and negative no separating equilibrium exists with either audience alone but the presence of each disciplines S's relationship with the other",medium
"pooling equilibrium always exists","Farrell & Gibbons (1989)",4,"In each of these games and for all values of the payoff parameters a pooling equilibrium exists. In such an equilibrium the sender's talk is uninformative",high
"neologism-proofness favors separating","Farrell & Gibbons (1989)",8,"In the coherent case with two actions if there exists a separating equilibrium then generically the pooling equilibrium is not neologism-proof (and the separating equilibrium is)",medium
