paper,page,keyword,label,snippet
cheap_talk,2,study,context,"rately? Why are engagements and weddings public? Why are letters of recommendation private? These problems have in common a simple structure: an informed ""sender"" says some- thing to two interested but uninformed ""re- ceivers,"" who then take actions based on their beliefs; these actions affect the sender as well as the receivers. In this paper we study how costless, nonverifiable claims (cheap talk) can affect these beliefs (and hence the actions). and how the incentives for truthful revelation to one receiver are affected by the presence of the other. We then ask how welfare is affected by whether claims are made in public or in private. As some of the above examples suggest, public messages ma"
cheap_talk,3,abstract,result,"are used in equilibrium. Any message-space with at least two messages would give the same set of pure-strategy equilibrium outcomes. 11. Equilibria with Two Receivers We now describe the pure-strategy perfect Bayesian equilibria in our model. In order to do so, we must analyze three distinct cheap- talk games: the sender S speaking in private 'we abstract from considerations such as reputation that might induce S to tell the truth e\en when it is against his short-term interest. Similarly, we assume that it is impossible to promise side-payments contin- gent on any of the players' realized payoffs: for in- stance. because those payoffs are not publicly observed. 0"
cheap_talk,3,effect,result,"ABLE 1A-Q's PAYOFFS True State S1 S2 ql XI > 0 0 Q 's Action q2 0 x2 > 0 TABLE 1B- R's PAYOFFS True State Sl S2 '1 .Vl > 0 0 R's Action '2 0 ?;, > 0 If one audience had an action that was always optimal for her irrespective of her beliefs about s, then the sender would not have to consider her reactions to his talk. Consequently, there would be in effect only one audience, and this problem has already been well studied by Vincent Crawford and Joel Sobel (1982). Without loss of interesting generality, therefore, we suppose that the receivers' payoffs are such that if the state were known to be s, then Q would choose q, and R would choose r,. By normalizing, we can display these payoffs as in Tables"
cheap_talk,4,condition,design_dimension,"- rium, S says ""s = s,"" when the state is s,, and says ""s = s,"" when the state is s,. Thus in a separating equilibrium, the receiver's rational posterior belief is either that s =s, for sure (so she takes her first action), or that s = s, for sure (so she takes her second ac- ti~n).~ Given that S can induce either of these beliefs. the equilibrium condition is that he has no incentive to lie. Thus a sepa- 'or. more gcncrall\. h15 mesage is uncorrelated with his private ~nfnrmat~on 5 'TO complete thc formal dcacription of equilibrium. wc must specif! ahat the recei\er ~ould believe if she heard an unexpected message. For simplicity. we can assume that .\he would maintain her prior beliefs. 4~or exampl"
cheap_talk,7,condition,design_dimension,"VOL. 79 NO. 5 FARRELL AND GIBBONS.. CHEAP TALK 1219 condition holds. More interesting effects arise when the coherence condition fails. With one receiver, R, in our two-action model, the sender also certainly prefers sepa- ration to pooling, even ex post. For recall that, in a separating equilibrium, S can, by choosing a message, induce R to choose either of her two actions: hence, he can induce her to choos"
cheap_talk,7,condition,design_dimension,"VOL. 79 NO. 5 FARRELL AND GIBBONS.. CHEAP TALK 1219 condition holds. More interesting effects arise when the coherence condition fails. With one receiver, R, in our two-action model, the sender also certainly prefers sepa- ration to pooling, even ex post. For recall that, in a separating equilibrium, S can, by choosing a message, induce R to choose either of her two actions: hence, he can induce her to choose the action she would choose in the pooling equilibrium. Thus S ha"
cheap_talk,8,outcome,result,"nce R cannot dispute S's reminder about hs incentives. Because such a speech can be made, we say that the pooling equilibrium is not neologism-proof. Moreover, no such objection can be made to the separating equilibrium: because both of the receiver's available actions are used in equilibrium, neither type of Sender can strictly prefer the pooling outcome to what he would get in separating equilibrium. Thus we have: PROPOSITION 4: In the coherent case with two actions, if there exists a separating equi- librium then, generically, the pooling equilib- rium is not neologism-proof (and the separat- ing equilibrium is). If the communication technology is very tightly controlled, S may have no chance to"
cheap_talk,11,theory,theory,"ersity, revised Febru- ary 1989. Lewis, Tracy and Sappington, David, ""Inflexible Rules in Incentive Problems,"" American Economic Review, March 1989, 79, 69-84. Riordan, Michael and Sappington, David, ""In- formation, Incentives and Organizational Mode,"" Quarterly Journal of Economics, May 1987, 102, 243-64. Stein, Jeremy, ""Cheap Talk and the Fed: A Theory of Imprecise Policy Announce- ments,"" American Economic Review, March 1989, 79, 32-42."
cheap_talk,14,theory,theory,"Cheap Talk and the Fed: A Theory of Imprecise Policy Announcements Jeremy C. Stein The American Economic Review, Vol. 79, No. 1. (Mar., 1989), pp. 32-42. Stable URL: http://links.jstor.org/sici?sici=0002-8282%28198903%2979%3A1%3C32%3ACTATFA%3E2.0.CO%3B2-U http://www.jstor.org LINKED CITATIONS - Page 3 of 3 - NOTE: The reference numbering from the original has been maintained in t"
strategic,2,abstract,theory,"that even a completely self-interested agent will frequently find it advantageous to reveal some information. How much, and how the amount is related to the similarity of agents' interests, are the subjects of this paper. While our primary motivations stem from the theory of bargaining, we have found it useful to approach these questions in a more abstract setting, which allows us to identify the essential prerequisites for the solution we propose. There are two agents, one of whom has private information relevant to both. The better-informed agent, henceforth called the Sender (S), sends a possibly noisy 'We are grateful to Franklin Fisher, Roger Gordon, Bengt Holmstr6m, David Kreps, Roger Myerson,"
strategic,2,introduction,result,"erior to all other equilibria, and that if agents coordinate on this equilibrium, R's equilibrium expected utility rises when agents' preferences become more similar. Since R bases his choice of action on rational expectations, this establishes a sense in which equilibrium signaling is more informative when agents' preferences are more similar. 1. INTRODUCTION MANY OF THE DIFFICULTIES ASSOCIATED with reaching agreements are informa- tional. Bargainers typically have different information about preferences and even about what is feasible. Sharing information makes available better potential agreements, but it also has strategic effects that make one suspect that revealing all to an opponent is not usuall"
strategic,2,method,protocol,"UTE meetings, the San Diego Summer Meetings of the Econometric Society, and a Stanford IMSSS workshop for helpful comments. We owe special thanks to Co-Editor James Mirrlees, who made numerous helpful expository criticisms of earlier drafts, insisted that a result along the lines of Theorem 2 was available (and that we prove it), and suggested the method of proof. Crawford's work was supported in part by NSF grant SES79-05550. Sobel's work was partially supported by the SSRC while he was at Nuffield College, Oxford, in connection with the project, ""Incentives, Consumer Uncertainty, and Public Policy."" 1431"
strategic,2,effect,result,"tion that determines the welfare of both. We characterize the set of Bayesian Nash equilibria under standard assumptions, and show that equilibrium signaling always takes a strikingly simple form, in which S partitions the support of the (scalar) variable that represents his private information and introduces noise into his signal by reporting, in effect, only which element of the partition his observation actually lies in. We show under further assumptions that before S observes his private information, the equilibrium whose partition has the greatest number of elements is Pareto-superior to all other equilibria, and that if agents coordinate on this equilibrium, R's equilibrium expected utility"
strategic,2,theory,theory,"opponent is not usually the most advantageous policy. Nevertheless, it seems clear that even a completely self-interested agent will frequently find it advantageous to reveal some information. How much, and how the amount is related to the similarity of agents' interests, are the subjects of this paper. While our primary motivations stem from the theory of bargaining, we have found it useful to approach these questions in a more abstract setting, which allows us to identify the essential prerequisites for the solution we propose. There are two agents, one of whom has private information relevant to both. The better-informed agent, henceforth called the Sender (S), sends a possibly noisy 'We are g"
strategic,3,abstract,theory,"heir frequency to the bargaining environment, with which we are familiar (see Chatterjee and Samuel- son [1], Crawford [2], and Sobel and Takahashi [14], for example) all rest on agents having different information, either about preferences or about the extent to which they have succeeded in committing themselves to their demands. These models all abstract from the possibility that agents may find it useful to communicate other than by their demands. Our model sheds some light on when this is an innocuous simplification, and when it is likely to distort the conclu- sions. Our model is also potentially applicable to many other situations where strategic communication is a possibility. Example applica"
strategic,3,study,result,"observes his private information, Pareto-superior to all other equilibria. Given this selection, we show under stronger assumptions that, in a sense made more precise in Sections 4 and 5, the more similar agents' preferences, the more informative the equilibrium signal. Section 6 concludes the paper with a brief summary and suggestions for further study. Our results have, in addition to their intrinsic interest, important implications for the design of models that relate the quality of bargaining outcomes to the bargaining environment. In particular, the rationalist explanations of the occur- rence of bargaining impasses, and of the relationship of their frequency to the bargaining environment, w"
strategic,3,effect,result,"sumptions akin to those commonly maintained in the signaling lit- erature, equilibrium is characterized in Section 3 in a strikingly simple way. Although S's choice of signaling rule is not restricted a priori, in equilibrium he partitions the support of the probability distribution of the variable that repre- sents his private information and, in effect, introduces noise into his signal by reporting only which element of the partition his observation actually lies in. This represents S's optimal compromise between including enough information in the signal to induce R to respond to it and holding back enough so that his response is as favorable as possible. There are, in general, several essentia"
strategic,4,study,design_dimension,"[6]. The Bayesian Nash equilibrium is both the natural generalization of the ordinary Nash equilibrium to games with incomplete information and a natural extension of the concept of rational-expectations equilibrium to situations where strategic interactions are important. It is, therefore, a sensible choice of equilib- rium concept with which to study strategic communication, guaranteeing that in equilibrium, agents who understand the game extract all available information from signals. To put it another way, this equilibrium concept guarantees that agents' conditional probabilistic beliefs about each other's actions and character- istics are self-confirming. Formally, an equilibrium consists o"
strategic,4,parameter,design_dimension,"nformation. S observes the value of a random varible, m, whose differentiable probability distribution function, F(m), with density f(m), is supported on [0, 1]. S has a twice continuously differentiable von Neumann-Morgenstern utility function Us(y,m, b), where y, a real number, is the action taken by R upon receiving S's signal and b is a scalar parameter we shall later use to measure how nearly agents' interests coincide. R's twice continuously differentiable von Neumann-Morgenstem utility function is denoted UR(y, m). All aspects of the game except m are common knowledge. Throughout the paper we shall assume that, for each m and for i = R, S, denoting partial derivatives by subscripts in the usua"
strategic,4,condition,design_dimension,"on is denoted UR(y, m). All aspects of the game except m are common knowledge. Throughout the paper we shall assume that, for each m and for i = R, S, denoting partial derivatives by subscripts in the usual way, U'(y, m) = 0 for some y, and U',(.) < 0, so that Ui has a unique maximum in y for each given (m, b) pair; and that U12(*) > 0. The latter condition is a sorting condition analogous to those that appear in the signaling literature; it ensures that the best value of y from a fully informed agent's standpoint is a strictly increasing function of the true value of m. The game proceeds as follows. S observes his ""type,"" m, and then sends a signal to R; the signal may be random, and can be viewed a"
strategic,4,condition,design_dimension,"All aspects of the game except m are common knowledge. Throughout the paper we shall assume that, for each m and for i = R, S, denoting partial derivatives by subscripts in the usual way, U'(y, m) = 0 for some y, and U',(.) < 0, so that Ui has a unique maximum in y for each given (m, b) pair; and that U12(*) > 0. The latter condition is a sorting condition analogous to those that appear in the signaling literature; it ensures that the best value of y from a fully informed agent's standpoint is a strictly increasing function of the true value of m. The game proceeds as follows. S observes his ""type,"" m, and then sends a signal to R; the signal may be random, and can be viewed as a noisy estimate of m"
strategic,5,study,theory,"perfectly sorted. Our model has no such costs. But R's equilibrium choice of action rule generally creates endogenous signaling costs, which allow equilibria with partial sorting. This shows that exogenous differential signaling costs are not always needed for informative signaling. Our model is closely related to that of Green and Stokey [3], who study strategic information transmission using a definition of equilibrium that differs 2More precisely, we may define an equilibrium to be an action rule for R, denoted y(n), and, for S, a probability distribution A on the Borel-measurable subsets of [0, 1] X [N] for which '(A X [N]) = fAf for all measurable sets A. Loeve [8, pp. 137-138] shows that in"
strategic,5,condition,design_dimension,"AND J. SOBEL q(n I m), and an action rule for R, denoted y(n), such that: (1) for each m E [0,1], q(n I m) dn = 1, where the Borel set N is the set of feasible signals, and if n* is in the support of q(* I m), then n* solves max Us(y(n), m, b); and (2) for each n,y(n) solves maxf UR (y,iM)p(iM I n)dm, wherep(m I n)- q(n I m)f(m)/J q(n I t)f(t)dt.2 Condition (1) says that S's signaling rule yields an expected-utility maximizing action for each of his information ""types,"" taking R's action rule as given. Condition (2) says that R responds optimally to each possible signal, using Bayes' Rule to update his prior, taking into account S's signaling strategy and the signal he receives. Since URl(_) < 0, the"
